,subregion_id,plotname,region,location_y,location_x,countdate,year,countdate_cluster,year_cluster,dem250,plot_nr,plot_name,elevation,plotweight,cov1,ASW,BFMON,BGER,BHE,BPIG,BST,CAT,CC,CURR,EWB,FTCUC,FW,GFAN,GHE,GHR,GOLDBB,GOLDW,LBSW,LEWHE,LST,MACHE,MTB,MTHORN,OFSF,PYR,RFAN,RL,SATBB,SBCUC,SBL,SCC,SD,SFD,SMON,TBBB,VRIF,VT,WOMP,WTTC,YBBB,YSHE,YTSW,site
772,AU,AU1000,WT,-17.70615356,145.5267359,12-Feb-98,1998,1/01/2000,1,841,1000,WT1000,upland,1,1,1,2,7,3,2,0,2,1,3,4,0,0,1,0,3,0,3,0,2,NA,0,0,0,1,0,0,0,0,0,0,6,0,2,0,0,2,0,2,3,0,0,1,AU1000
773,AU,AU1000,WT,-17.70615356,145.5267359,29-Oct-98,1998,1/01/2000,1,841,1000,WT1000,upland,1,1,3,3,6,1,4,0,4,0,1,4,2,0,3,0,2,0,4,0,0,NA,1,1,2,2,1,0,1,0,0,2,3,0,2,1,0,1,0,2,4,0,0,0,AU1000
786,AU,AU1000,WT,-17.70435718,145.5269863,11-Dec-97,1997,1/01/2000,1,841,1000,WT1000,upland,1,1,0,1,3,1,2,2,1,1,0,2,1,0,2,0,2,0,4,3,1,NA,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,6,0,0,0,AU1000
787,AU,AU1000,WT,-17.70435718,145.5269863,12-Feb-98,1998,1/01/2000,1,841,1000,WT1000,upland,1,1,3,0,3,3,2,0,2,0,3,2,0,2,3,0,2,0,1,3,1,NA,0,0,0,1,1,1,0,0,0,0,2,0,2,3,0,0,0,1,3,0,0,0,AU1000
788,AU,AU1000,WT,-17.70435718,145.5269863,29-Oct-98,1998,1/01/2000,1,841,1000,WT1000,upland,1,1,2,1,0,2,2,2,2,1,2,4,3,1,3,0,3,0,1,0,0,NA,0,0,0,0,0,0,0,0,0,0,1,0,2,2,1,2,0,0,2,0,0,3,AU1000
803,AU,AU1000,WT,-17.7026933,145.5268302,11-Dec-97,1997,1/01/2000,1,852,1000,WT1000,upland,1,1,0,3,0,3,2,5,3,0,2,1,0,0,2,0,2,0,3,0,2,NA,0,1,2,1,0,0,0,0,0,0,2,0,1,0,1,2,0,1,1,0,0,0,AU1000
804,AU,AU1000,WT,-17.7026933,145.5268302,12-Feb-98,1998,1/01/2000,1,852,1000,WT1000,upland,1,1,0,2,3,4,0,1,0,0,0,2,0,0,2,0,1,0,0,2,0,NA,0,0,0,0,0,0,0,0,0,0,5,0,1,2,1,1,0,1,3,0,0,0,AU1000
805,AU,AU1000,WT,-17.7026933,145.5268302,27-Oct-98,1998,1/01/2000,1,852,1000,WT1000,upland,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AU1000
806,AU,AU1000,WT,-17.7026933,145.5268302,29-Oct-98,1998,1/01/2000,1,852,1000,WT1000,upland,1,1,0,0,0,2,5,6,1,0,0,2,0,0,2,0,0,0,2,0,2,NA,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0,3,0,0,2,0,0,0,AU1000
824,AU,AU1000,WT,-17.70193123,145.5252242,12-Dec-97,1997,1/01/2000,1,851,1000,WT1000,upland,1,1,0,1,0,3,4,4,2,3,2,1,0,0,1,0,1,0,0,0,1,NA,0,0,0,1,0,1,0,0,0,0,1,0,2,0,2,2,0,3,4,1,0,4,AU1000
825,AU,AU1000,WT,-17.70193123,145.5252242,13-Feb-98,1998,1/01/2000,1,851,1000,WT1000,upland,1,1,0,2,4,5,1,5,3,3,1,3,0,0,1,0,4,2,2,0,1,NA,0,2,0,1,0,1,0,0,0,2,3,0,0,2,2,1,0,1,4,0,0,5,AU1000
826,AU,AU1000,WT,-17.70193123,145.5252242,27-Oct-98,1998,1/01/2000,1,851,1000,WT1000,upland,1,1,0,2,0,2,4,0,1,0,0,1,0,0,1,0,1,0,0,0,1,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,3,0,1,1,0,0,0,AU1000
844,AU,AU1000,WT,-17.70066965,145.5244897,12-Dec-97,1997,1/01/2000,1,851,1000,WT1000,upland,1,1,0,1,1,6,0,4,1,0,1,3,0,0,1,0,1,1,1,0,0,NA,0,0,2,1,0,0,0,0,0,0,0,1,3,2,3,5,0,1,4,0,0,1,AU1000
845,AU,AU1000,WT,-17.70066965,145.5244897,13-Feb-98,1998,1/01/2000,1,851,1000,WT1000,upland,1,1,0,1,5,6,0,0,0,1,2,2,0,0,3,0,2,0,1,1,2,NA,1,0,0,0,0,2,0,0,0,0,3,0,2,0,0,1,0,0,2,0,0,2,AU1000
846,AU,AU1000,WT,-17.70066965,145.5244897,27-Oct-98,1998,1/01/2000,1,851,1000,WT1000,upland,1,1,0,1,0,0,2,1,3,0,0,3,1,0,1,0,3,0,2,0,2,NA,0,0,1,0,0,0,0,0,0,0,1,1,2,0,1,2,0,0,2,0,0,4,AU1000
866,AU,AU1000,WT,-17.69954396,145.5238012,12-Dec-97,1997,1/01/2000,1,889,1000,WT1000,upland,1,1,0,0,2,2,0,3,2,5,1,2,0,1,0,0,1,0,3,0,1,NA,1,1,0,0,0,2,1,0,0,0,1,0,3,1,0,2,0,0,4,0,0,4,AU1000
867,AU,AU1000,WT,-17.69954396,145.5238012,13-Feb-98,1998,1/01/2000,1,889,1000,WT1000,upland,1,1,0,1,0,5,1,1,0,0,1,2,0,0,1,0,1,0,0,0,1,NA,0,0,0,0,1,4,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,0,AU1000
868,AU,AU1000,WT,-17.69954396,145.5238012,27-Oct-98,1998,1/01/2000,1,889,1000,WT1000,upland,1,1,0,1,1,3,1,1,0,3,1,7,1,0,2,0,2,0,5,0,1,NA,0,0,0,1,0,1,18,0,0,0,0,1,1,0,0,0,0,0,2,0,2,2,AU1000
1154,AU,AU1000,WT,-17.61346004,145.562677,8-Sep-96,1996,1/01/2000,1,1033,1000,WT1000,upland,1,1,0,0,2,1,1,0,2,0,2,1,0,0,2,0,2,0,2,4,2,NA,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,3,AU1000
1155,AU,AU1000,WT,-17.61343944,145.5598501,8-Sep-96,1996,1/01/2000,1,1041,1000,WT1000,upland,1,1,0,0,3,1,3,0,1,1,1,1,0,0,2,0,1,0,4,0,2,NA,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,AU1000
1156,AU,AU1000,WT,-17.61343944,145.5598501,27-Feb-16,2016,1/01/2003,4,1041,1000,WT1000,upland,1,1,0,1,0,8,0,0,3,3,2,2,1,0,3,0,2,0,1,1,4,NA,0,0,1,2,0,0,4,0,0,2,1,0,4,2,1,0,0,0,3,0,0,1,AU1000
1158,AU,AU1000,WT,-17.61164595,145.561749,8-Sep-96,1996,1/01/2000,1,1033,1000,WT1000,upland,1,1,0,0,1,0,0,0,1,0,0,1,0,0,3,0,2,0,2,0,4,NA,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,AU1000
1182,AU,AU1000,WT,-17.6105217,145.5612397,14-Feb-03,2003,1/01/2000,1,999,1000,WT1000,upland,1,1,0,3,0,2,2,0,2,1,2,0,0,0,0,0,2,1,1,0,3,NA,0,0,4,1,0,2,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,2,AU1000
1183,AU,AU1000,WT,-17.6104532,145.5630024,14-Feb-03,2003,1/01/2000,1,999,1000,WT1000,upland,1,1,0,1,0,2,2,1,0,2,1,0,0,0,0,0,2,0,2,0,0,NA,0,0,0,2,0,3,0,0,0,0,0,0,3,1,0,1,0,1,1,1,0,3,AU1000
1204,AU,AU1000,WT,-17.60883238,145.5575969,14-Feb-03,2003,1/01/2000,1,974,1000,WT1000,upland,1,1,1,2,4,2,1,2,3,3,2,3,0,0,0,0,2,0,1,0,1,NA,0,0,3,2,0,2,0,1,0,0,0,0,3,1,0,1,0,3,3,0,0,0,AU1000
1434,AU,AU1000,WT,-17.59422675,145.5747015,11-Feb-03,2003,1/01/2000,1,851,1000,WT1000,upland,1,1,0,2,0,4,2,0,3,1,1,2,0,0,2,0,2,0,0,0,2,NA,0,0,0,1,1,0,0,0,0,0,0,0,1,2,0,2,0,0,1,0,0,3,AU1000
1435,AU,AU1000,WT,-17.59263482,145.5744973,11-Feb-03,2003,1/01/2000,1,851,1000,WT1000,upland,1,1,0,0,0,3,2,0,1,1,1,1,0,3,2,0,2,0,0,5,1,NA,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,2,0,0,5,AU1000
1436,AU,AU1000,WT,-17.59135982,145.5731316,11-Feb-03,2003,1/01/2000,1,861,1000,WT1000,upland,1,1,0,0,0,6,1,0,1,2,0,3,0,0,0,0,2,0,0,2,2,NA,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,0,0,0,AU1000
1438,AU,AU1000,WT,-17.58903195,145.5836839,13-Feb-03,2003,1/01/2000,1,920,1000,WT1000,upland,1,1,0,2,0,0,0,0,0,1,0,1,0,2,1,0,2,0,0,6,2,NA,0,0,3,2,0,0,0,0,0,0,0,0,2,2,0,0,0,1,2,0,0,2,AU1000
1450,AU,AU1000,WT,-17.5442176,145.554765,5-Mar-03,2003,1/01/2000,1,1083,1000,WT1000,upland,1,1,0,1,0,3,2,0,1,0,2,1,0,0,0,0,3,0,0,2,3,NA,0,0,2,2,0,0,4,0,0,0,2,0,1,1,1,2,0,2,2,0,0,3,AU1000
1451,AU,AU1000,WT,-17.46244433,145.4737229,23-Jan-01,2001,1/01/2000,1,1065,1000,WT1000,upland,1,1,0,0,0,3,1,3,2,1,0,0,0,0,2,0,1,0,0,0,2,NA,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2,0,0,0,AU1000
1453,AU,AU1000,WT,-17.43279395,145.4865371,4-Mar-01,2001,1/01/2000,1,945,1000,WT1000,upland,1,1,0,1,0,6,0,1,0,1,0,0,0,1,1,0,4,0,2,1,2,NA,0,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,3,0,0,1,AU1000
1454,AU,AU1000,WT,-17.42987327,145.4851021,4-Mar-01,2001,1/01/2000,1,974,1000,WT1000,upland,1,1,0,0,0,4,0,3,4,0,0,1,0,0,3,0,5,0,0,3,3,NA,1,0,2,1,0,3,1,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,AU1000
1455,AU,AU1000,WT,-17.42736492,145.4856029,4-Mar-01,2001,1/01/2000,1,925,1000,WT1000,upland,1,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,3,NA,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AU1000
1459,AU,AU1000,WT,-17.39198804,145.4574521,6-Mar-01,2001,1/01/2000,1,1021,1000,WT1000,upland,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,3,0,2,0,0,NA,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,AU1000
1544,AU,AU1000,WT,-17.32237915,145.4191322,4-Mar-01,2001,1/01/2000,1,1034,1000,WT1000,upland,1,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,3,2,NA,0,2,1,0,1,0,2,0,0,4,3,1,0,0,0,0,0,0,0,0,1,1,AU1000
1545,AU,AU1000,WT,-17.31772371,145.418918,4-Mar-01,2001,1/01/2000,1,1031,1000,WT1000,upland,1,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,4,0,0,1,0,NA,0,0,3,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,1,AU1000
1548,AU,AU1000,WT,-17.30303142,145.4224772,5-Mar-01,2001,1/01/2000,1,1105,1000,WT1000,upland,1,1,1,0,1,23,0,0,0,0,0,2,0,0,1,0,3,0,1,1,3,NA,1,0,2,0,0,0,2,0,0,7,3,0,1,0,0,0,0,0,0,0,0,2,AU1000
1549,AU,AU1000,WT,-17.30141511,145.422632,5-Mar-01,2001,1/01/2000,1,1080,1000,WT1000,upland,1,1,0,0,0,2,0,1,0,1,0,2,0,1,3,0,2,2,1,0,2,NA,0,0,7,1,0,1,1,0,0,1,3,0,0,1,1,3,0,0,1,0,0,0,AU1000
1550,AU,AU1000,WT,-17.30021379,145.4226987,5-Mar-01,2001,1/01/2000,1,1080,1000,WT1000,upland,1,1,2,0,1,1,0,1,0,1,0,0,0,1,1,0,4,1,5,1,2,NA,0,1,4,1,0,2,0,0,0,2,1,0,0,0,0,2,0,0,3,0,0,3,AU1000
1551,AU,AU1000,WT,-17.2991071,145.4244578,5-Mar-01,2001,1/01/2000,1,1088,1000,WT1000,upland,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,4,1,3,0,1,NA,0,1,4,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,4,0,0,0,AU1000
1552,AU,AU1000,WT,-17.29793571,145.4237341,5-Mar-01,2001,1/01/2000,1,1088,1000,WT1000,upland,1,1,0,0,1,0,0,0,1,0,0,1,0,0,2,0,3,0,1,1,0,NA,0,0,5,2,1,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,AU1000
1553,AU,AU1000,WT,-17.29679684,145.4225491,5-Mar-01,2001,1/01/2000,1,1077,1000,WT1000,upland,1,1,0,0,1,0,0,1,0,4,0,2,0,0,0,0,3,0,0,2,2,NA,0,0,1,1,1,1,1,2,0,0,4,1,0,0,0,1,0,0,1,0,0,3,AU1000
1554,AU,AU1000,WT,-17.28894751,145.4356719,5-Mar-01,2001,1/01/2000,1,1010,1000,WT1000,upland,1,1,0,0,0,0,0,1,2,0,0,2,0,2,1,0,4,0,0,2,0,NA,0,1,2,0,3,0,0,1,0,0,0,0,0,1,0,1,0,0,4,0,0,1,AU1000
1556,AU,AU1000,WT,-17.27729986,145.4253206,3-Mar-01,2001,1/01/2000,1,1026,1000,WT1000,upland,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,3,3,NA,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0,3,AU1000
1557,AU,AU1000,WT,-17.27492989,145.4284728,3-Mar-01,2001,1/01/2000,1,1044,1000,WT1000,upland,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,4,NA,0,0,1,0,0,0,1,3,1,1,2,1,0,0,0,0,0,0,2,0,0,1,AU1000
774,AU,AU10A,WT,-17.70615356,145.5267359,1-Feb-04,2004,1/01/2001,2,841,1000,WT1000,upland,1,1,0,1,0,0,0,3,0,1,1,6,0,0,3,0,2,0,0,0,2,NA,0,0,0,1,0,2,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,AU1000
775,AU,AU10A,WT,-17.70615356,145.5267359,14-May-04,2004,1/01/2001,2,841,1000,WT1000,upland,1,1,0,0,7,0,0,0,1,2,0,6,0,3,2,0,2,1,5,0,1,NA,0,3,3,0,2,0,0,0,1,0,3,0,0,0,0,0,0,0,2,0,0,0,AU1000
776,AU,AU10A,WT,-17.70615356,145.5267359,9-Oct-04,2004,1/01/2001,2,841,1000,WT1000,upland,1,1,0,1,4,2,2,2,0,1,3,1,5,1,2,0,3,0,4,3,2,NA,0,0,3,1,0,0,0,0,0,0,4,0,0,0,1,3,0,2,3,2,0,1,AU1000
777,AU,AU10A,WT,-17.70615356,145.5267359,27-Mar-07,2007,1/01/2001,2,841,1000,WT1000,upland,1,1,0,0,1,0,0,1,0,0,0,1,0,2,1,0,4,0,0,0,3,NA,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,2,AU1000
778,AU,AU10A,WT,-17.70615356,145.5267359,4-Apr-08,2008,1/01/2002,3,841,1000,WT1000,upland,1,1,0,0,7,1,0,0,1,1,2,4,1,5,2,0,4,0,4,0,4,NA,0,0,1,0,1,0,0,1,0,0,2,0,0,0,0,1,0,0,6,0,0,2,AU1000
779,AU,AU10A,WT,-17.70615356,145.5267359,19-Oct-08,2008,1/01/2002,3,841,1000,WT1000,upland,1,1,0,1,1,0,0,2,0,0,2,3,1,2,3,0,1,0,1,4,0,NA,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,4,AU1000
780,AU,AU10A,WT,-17.70615356,145.5267359,28-Mar-09,2009,1/01/2002,3,841,1000,WT1000,upland,1,1,0,0,4,0,0,1,0,0,3,2,0,1,1,0,3,0,0,2,3,NA,0,1,2,0,0,0,7,0,0,0,1,0,0,0,0,1,0,0,2,0,0,3,AU1000
781,AU,AU10A,WT,-17.70615356,145.5267359,20-Jun-09,2009,1/01/2002,3,841,1000,WT1000,upland,1,1,0,0,4,0,0,1,3,2,2,5,0,1,0,0,2,0,2,0,2,NA,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,AU1000
782,AU,AU10A,WT,-17.70615356,145.5267359,15-Oct-10,2010,1/01/2002,3,841,1000,WT1000,upland,1,1,0,3,4,0,2,0,3,1,1,3,0,2,5,0,3,0,5,2,4,NA,0,0,1,0,0,0,0,0,1,3,3,0,2,1,0,2,0,0,1,0,0,1,AU1000
783,AU,AU10A,WT,-17.70615356,145.5267359,18-Jan-12,2012,1/01/2003,4,841,1000,WT1000,upland,1,1,0,3,4,0,1,3,2,6,2,1,0,1,3,0,3,0,0,0,1,NA,0,0,0,0,0,0,9,0,0,0,4,0,3,2,0,1,0,0,4,0,0,1,AU1000
784,AU,AU10A,WT,-17.70615356,145.5267359,9-Aug-12,2012,1/01/2003,4,841,1000,WT1000,upland,1,1,2,0,10,0,2,0,3,2,1,4,0,1,5,0,4,0,0,2,0,NA,0,0,4,0,0,0,8,0,0,0,5,0,0,0,0,0,0,0,7,0,0,1,AU1000
785,AU,AU10A,WT,-17.70615356,145.5267359,14-Mar-13,2013,1/01/2003,4,841,1000,WT1000,upland,1,1,0,3,3,1,0,2,2,0,1,2,0,0,3,0,1,0,1,5,4,NA,1,4,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,AU1000
789,AU,AU10A,WT,-17.70435718,145.5269863,1-Feb-04,2004,1/01/2001,2,841,1000,WT1000,upland,1,1,1,1,4,0,0,1,0,1,2,2,0,0,0,0,3,1,1,4,3,NA,0,0,0,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,2,0,0,1,AU1000
790,AU,AU10A,WT,-17.70435718,145.5269863,15-May-04,2004,1/01/2001,2,841,1000,WT1000,upland,1,1,0,0,5,0,0,2,1,1,0,1,0,2,3,0,4,0,3,1,2,NA,0,1,1,0,0,0,0,0,1,0,3,0,0,0,0,1,0,1,5,0,0,3,AU1000
791,AU,AU10A,WT,-17.70435718,145.5269863,9-Oct-04,2004,1/01/2001,2,841,1000,WT1000,upland,1,1,0,0,1,5,1,1,1,1,3,3,0,0,2,0,1,1,4,2,2,NA,0,0,0,0,0,0,0,4,1,0,2,0,0,0,2,2,0,0,4,0,0,0,AU1000
792,AU,AU10A,WT,-17.70435718,145.5269863,27-Mar-07,2007,1/01/2001,2,841,1000,WT1000,upland,1,1,0,0,2,0,0,0,1,2,1,0,0,0,5,0,2,0,0,2,1,NA,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,3,AU1000
793,AU,AU10A,WT,-17.70435718,145.5269863,27-Mar-07,2007,1/01/2001,2,841,1000,WT1000,upland,1,1,0,0,2,1,0,0,1,0,0,1,0,0,5,0,4,0,1,0,3,NA,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,6,AU1000
794,AU,AU10A,WT,-17.70435718,145.5269863,28-Oct-07,2007,1/01/2001,2,841,1000,WT1000,upland,1,1,0,1,2,6,0,4,3,1,3,1,0,1,3,0,4,0,4,4,0,NA,0,2,2,1,0,0,0,1,3,0,1,1,0,2,0,0,0,0,5,0,0,2,AU1000
795,AU,AU10A,WT,-17.70435718,145.5269863,4-Apr-08,2008,1/01/2002,3,841,1000,WT1000,upland,1,1,0,1,4,0,0,3,2,1,2,3,0,2,4,0,3,0,3,2,1,NA,0,0,1,1,0,0,0,0,1,0,2,0,0,0,0,1,0,0,4,0,0,6,AU1000
796,AU,AU10A,WT,-17.70435718,145.5269863,28-Mar-09,2009,1/01/2002,3,841,1000,WT1000,upland,1,1,0,0,0,0,1,1,1,1,2,0,0,0,1,0,2,0,1,2,3,NA,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,AU1000
797,AU,AU10A,WT,-17.70435718,145.5269863,20-Jun-09,2009,1/01/2002,3,841,1000,WT1000,upland,1,1,0,0,3,0,0,1,1,4,0,0,0,2,1,0,1,0,0,2,2,NA,0,2,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,AU1000
798,AU,AU10A,WT,-17.70435718,145.5269863,15-Oct-10,2010,1/01/2002,3,841,1000,WT1000,upland,1,1,0,1,4,1,1,2,5,2,2,1,0,1,3,0,3,0,4,3,5,NA,0,0,0,2,0,0,0,0,0,0,0,0,2,0,2,0,0,0,3,0,0,3,AU1000
799,AU,AU10A,WT,-17.70435718,145.5269863,18-Jan-12,2012,1/01/2003,4,841,1000,WT1000,upland,1,1,0,1,1,0,1,2,0,1,1,1,0,2,2,0,4,0,2,0,3,NA,0,1,5,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,2,0,0,4,AU1000
800,AU,AU10A,WT,-17.70435718,145.5269863,9-Aug-12,2012,1/01/2003,4,841,1000,WT1000,upland,1,1,3,0,8,0,2,0,4,1,2,5,0,5,2,0,2,0,0,0,0,NA,0,0,1,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,8,0,0,2,AU1000
801,AU,AU10A,WT,-17.70435718,145.5269863,14-Mar-13,2013,1/01/2003,4,841,1000,WT1000,upland,1,1,0,0,1,1,1,0,1,1,3,2,0,1,1,0,2,0,3,2,2,NA,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,0,0,4,0,0,4,AU1000
802,AU,AU10A,WT,-17.70435718,145.5269863,12-Jun-14,2014,1/01/2003,4,841,1000,WT1000,upland,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,1,NA,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,AU1000
807,AU,AU10A,WT,-17.7026933,145.5268302,1-Feb-04,2004,1/01/2001,2,852,1000,WT1000,upland,1,1,0,0,2,1,0,1,0,0,3,4,0,0,1,0,2,0,1,0,0,NA,0,1,0,0,0,0,2,1,0,0,3,0,1,0,1,1,0,0,2,0,0,0,AU1000
808,AU,AU10A,WT,-17.7026933,145.5268302,14-May-04,2004,1/01/2001,2,852,1000,WT1000,upland,1,1,0,1,5,0,0,1,1,2,0,4,0,2,4,0,2,0,3,2,2,NA,0,3,2,1,0,0,0,0,1,0,3,0,0,0,0,2,0,0,6,2,0,0,AU1000
809,AU,AU10A,WT,-17.7026933,145.5268302,9-Oct-04,2004,1/01/2001,2,852,1000,WT1000,upland,1,1,0,1,1,5,3,5,3,3,3,5,1,1,1,0,2,1,4,1,3,NA,0,0,1,0,0,0,0,1,2,0,1,0,1,0,2,3,0,1,2,0,0,1,AU1000
810,AU,AU10A,WT,-17.7026933,145.5268302,27-Mar-07,2007,1/01/2001,2,852,1000,WT1000,upland,1,1,0,0,0,0,0,0,1,2,1,0,0,0,5,0,2,0,0,2,1,NA,0,0,3,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,2,0,0,3,AU1000
811,AU,AU10A,WT,-17.7026933,145.5268302,4-Apr-08,2008,1/01/2002,3,852,1000,WT1000,upland,1,1,1,1,0,0,1,0,3,3,2,2,0,3,3,0,3,1,4,0,2,NA,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,7,0,0,2,AU1000
