"","spp","year","site","mean","sd"
"136","BGER",2012,"Lowland",0.631578947368421,1.74636383057311
"137","BGER",2012,"Midland",3.68421052631579,2.98740837840187
"138","BGER",2012,"Upland",1.38157894736842,2.59212708157172
"139","BGER",2013,"Lowland",0.272727272727273,0.904534033733291
"140","BGER",2013,"Midland",2,1.806421294919
"141","BGER",2013,"Upland",0.785714285714286,1.47357679522601
"142","BGER",2014,"Lowland",0.363636363636364,0.674199862463242
"143","BGER",2014,"Midland",3.16326530612245,2.35714285714286
"144","BGER",2014,"Upland",2.47058823529412,3.97047930133793
"145","BGER",2015,"Lowland",0.333333333333333,0.816496580927726
"146","BGER",2015,"Midland",3.5,1.55662356498831
"147","BGER",2015,"Upland",0.972222222222222,1.91961471001882
"148","BGER",2016,"Lowland",0,0
"149","BGER",2016,"Midland",2.79166666666667,2.82810685897777
"150","BGER",2016,"Upland",0.357142857142857,0.841897386141095
"151","BHE",2000,"Lowland",0,0
"152","BHE",2000,"Midland",2.24,1.93316912274712
"153","BHE",2000,"Upland",3.45454545454545,2.32168253432932
"154","BHE",2001,"Midland",2.16666666666667,2.31566811969671
"155","BHE",2001,"Upland",2.86538461538462,3.37829778551297
"156","BHE",2002,"Lowland",0,0
"157","BHE",2002,"Midland",NA,NA
"158","BHE",2002,"Upland",NA,NA
"159","BHE",2003,"Lowland",0,0
"160","BHE",2003,"Midland",0.757575757575758,1.09059338866231
"161","BHE",2003,"Upland",1.6875,1.74942386829714
"162","BHE",2004,"Lowland",0.231707317073171,0.80582417724784
"163","BHE",2004,"Midland",1.17741935483871,1.74397167080358
"164","BHE",2004,"Upland",1.66666666666667,2.2153558220836
"165","BHE",2005,"Lowland",0.292682926829268,0.813753723156595
"166","BHE",2005,"Midland",NA,NA
"167","BHE",2005,"Upland",2.41818181818182,2.25824341018928
"168","BHE",2006,"Lowland",0.0869565217391304,0.41702882811415
"169","BHE",2006,"Midland",1.0952380952381,0.943650459903555
"170","BHE",2006,"Upland",1.04,1.17189305541646
"171","BHE",2007,"Lowland",0,0
"172","BHE",2007,"Midland",1.83333333333333,2.68433860734171
"173","BHE",2007,"Upland",2.24,2.39523336172968
"174","BHE",2008,"Lowland",0.0886075949367089,0.285992353211451
"175","BHE",2008,"Midland",0.861702127659574,1.77558752251275
"176","BHE",2008,"Upland",1.25274725274725,1.91249346603623
"177","BHE",2009,"Lowland",0.0285714285714286,0.169030850945703
"178","BHE",2009,"Midland",0.396551724137931,0.990120587594981
"179","BHE",2009,"Upland",3.15873015873016,2.71914567469358
"180","BHE",2010,"Lowland",0.448275862068966,1.27015766446959
"181","BHE",2010,"Midland",0.653061224489796,1.21708361134591
"182","BHE",2010,"Upland",1.67741935483871,2.22691261277721
"183","BHE",2011,"Lowland",0.166666666666667,0.408248290463863
"184","BHE",2011,"Midland",0.32,0.748331477354788
"185","BHE",2011,"Upland",2,2.23606797749979
"186","BHE",2012,"Lowland",0.131578947368421,0.474828710599594
"187","BHE",2012,"Midland",1.86842105263158,3.86369835871182
"188","BHE",2012,"Upland",1.25,1.86993761036743
"189","BHE",2013,"Lowland",0,0
"190","BHE",2013,"Midland",1.69230769230769,2.63732166924032
"191","BHE",2013,"Upland",2.32142857142857,2.61538902273825
"192","BHE",2014,"Lowland",0,0
"193","BHE",2014,"Midland",0.448979591836735,0.818057263933785
"194","BHE",2014,"Upland",0.470588235294118,1.00732610526728
"195","BHE",2015,"Lowland",0.166666666666667,0.408248290463863
"196","BHE",2015,"Midland",NA,NA
"197","BHE",2015,"Upland",2.16666666666667,2.29906813420444
"198","BHE",2016,"Lowland",0,0
"199","BHE",2016,"Midland",NA,NA
"200","BHE",2016,"Upland",3.07142857142857,2.70225790815714
"201","BPIG",2000,"Lowland",0.3,0.674948557710553
"202","BPIG",2000,"Midland",1.94,1.85615358266739
"203","BPIG",2000,"Upland",0.848484848484849,1.01135741597312
"204","BPIG",2001,"Midland",3,1.86500961648063
"205","BPIG",2001,"Upland",0.615384615384615,0.993189478078839
"206","BPIG",2002,"Lowland",0.25,0.5
"207","BPIG",2002,"Midland",1.45454545454545,1.12815214963553
"208","BPIG",2002,"Upland",1.47619047619048,1.16700675315302
"209","BPIG",2003,"Lowland",0.833333333333333,0.983192080250175
"210","BPIG",2003,"Midland",1.24242424242424,1.11888066360713
"211","BPIG",2003,"Upland",0.9375,0.913606818798349
"212","BPIG",2004,"Lowland",0.914634146341463,1.48408195434575
"213","BPIG",2004,"Midland",1.16129032258065,1.45046724613164
"214","BPIG",2004,"Upland",0.520833333333333,0.771557786844068
"215","BPIG",2005,"Lowland",0.804878048780488,1.05402827749359
"216","BPIG",2005,"Midland",1.14666666666667,1.41128016768879
"217","BPIG",2005,"Upland",1.29090909090909,1.22735378208457
"218","BPIG",2006,"Lowland",0.652173913043478,1.11227431427577
"219","BPIG",2006,"Midland",0.619047619047619,0.920662287496912
"220","BPIG",2006,"Upland",1.08,2.1
"221","BPIG",2007,"Lowland",0.666666666666667,0.955133865881839
"222","BPIG",2007,"Midland",0.958333333333333,1.23698902338365
"223","BPIG",2007,"Upland",0.16,0.467734444106997
"224","BPIG",2008,"Lowland",0.658227848101266,1.03634065220837
"225","BPIG",2008,"Midland",1.58510638297872,1.71275778669163
"226","BPIG",2008,"Upland",0.494505494505495,0.886611857624624
"227","BPIG",2009,"Lowland",0.742857142857143,0.918530064282926
"228","BPIG",2009,"Midland",1.36206896551724,1.95293998669994
"229","BPIG",2009,"Upland",0.746031746031746,1.19093693081098
"230","BPIG",2010,"Lowland",1.55172413793103,1.72349741797129
"231","BPIG",2010,"Midland",1.36734693877551,1.28604493102918
"232","BPIG",2010,"Upland",0.612903225806452,0.843698972969179
"233","BPIG",2011,"Lowland",1.83333333333333,2.13697605664328
"234","BPIG",2011,"Midland",1.44,1.4456832294801
"235","BPIG",2011,"Upland",0.945945945945946,1.41315144163568
"236","BPIG",2012,"Lowland",0.657894736842105,0.966361685674219
"237","BPIG",2012,"Midland",1.97368421052632,1.36534011415161
"238","BPIG",2012,"Upland",0.657894736842105,1.07768432705126
"239","BPIG",2013,"Lowland",0.181818181818182,0.404519917477945
"240","BPIG",2013,"Midland",1,1.35724178507659
"241","BPIG",2013,"Upland",0.767857142857143,1.17536951912729
"242","BPIG",2014,"Lowland",0.0909090909090909,0.301511344577764
"243","BPIG",2014,"Midland",0.673469387755102,1.00804586333412
"244","BPIG",2014,"Upland",0.117647058823529,0.485071250072666
"245","BPIG",2015,"Lowland",0,0
"246","BPIG",2015,"Midland",2.28571428571429,1.0690449676497
"247","BPIG",2015,"Upland",1.19444444444444,1.21465913959301
"248","BPIG",2016,"Lowland",0.363636363636364,0.674199862463242
"249","BPIG",2016,"Midland",1.41666666666667,1.2128538629009
"250","BPIG",2016,"Upland",1.85714285714286,1.61040572322834
"251","BST",2000,"Lowland",NA,NA
"252","BST",2000,"Midland",2.06,1.57025930524684
"253","BST",2000,"Upland",1.92424242424242,1.58172842228519
"254","BST",2001,"Midland",3.08333333333333,1.66594187138705
"255","BST",2001,"Upland",1.21153846153846,1.22612954664602
"256","BST",2002,"Lowland",NA,NA
"257","BST",2002,"Midland",1.90909090909091,1.22102788293679
"258","BST",2002,"Upland",1.47619047619048,1.36451631060415
"259","BST",2003,"Lowland",NA,NA
"260","BST",2003,"Midland",2.33333333333333,1.59426053914242
"261","BST",2003,"Upland",1.375,1.66074215823199
"262","BST",2004,"Lowland",NA,NA
"263","BST",2004,"Midland",1.67741935483871,1.65548306558399
"264","BST",2004,"Upland",2.29166666666667,1.63678893391433
"265","BST",2005,"Lowland",NA,NA
"266","BST",2005,"Midland",2.28,1.58165154873683
"267","BST",2005,"Upland",2.98181818181818,2.12124098104466
"268","BST",2006,"Lowland",NA,NA
"269","BST",2006,"Midland",NA,NA
"270","BST",2006,"Upland",1.04,1.79071680247511
"271","BST",2007,"Lowland",NA,NA
"272","BST",2007,"Midland",1.83333333333333,1.73000225474374
"273","BST",2007,"Upland",1,1.26168012376112
"274","BST",2008,"Lowland",NA,NA
"275","BST",2008,"Midland",1.30851063829787,1.76602704435436
"276","BST",2008,"Upland",0.901098901098901,1.33379113019947
"277","BST",2009,"Lowland",NA,NA
"278","BST",2009,"Midland",1.18965517241379,1.56111629596715
"279","BST",2009,"Upland",0.904761904761905,1.17383141222741
"280","BST",2010,"Lowland",NA,NA
"281","BST",2010,"Midland",1.59183673469388,1.61913515169543
"282","BST",2010,"Upland",1.83870967741935,1.77194383269802
"283","BST",2011,"Lowland",NA,NA
"284","BST",2011,"Midland",1.16,1.491084616423
"285","BST",2011,"Upland",1.94594594594595,1.82491926679794
"286","BST",2012,"Lowland",NA,NA
"287","BST",2012,"Midland",1.55263157894737,1.50130336925732
"288","BST",2012,"Upland",1.14473684210526,1.39239790642781
"289","BST",2013,"Lowland",NA,NA
"290","BST",2013,"Midland",0.923076923076923,1.24360713428857
"291","BST",2013,"Upland",1.375,1.39561000022473
"292","BST",2014,"Lowland",NA,NA
"293","BST",2014,"Midland",0.755102040816326,1.14620046684866
"294","BST",2014,"Upland",1.23529411764706,1.30045240996671
"295","BST",2015,"Lowland",NA,NA
"296","BST",2015,"Midland",0.428571428571429,1.08940955880384
"297","BST",2015,"Upland",0.861111111111111,1.29068703250363
"298","BST",2016,"Lowland",NA,NA
"299","BST",2016,"Midland",0.791666666666667,1.06236678619288
"300","BST",2016,"Upland",1.14285714285714,1.16732059119908
"301","CAT",2000,"Lowland",1.4,1.42984070596848
"302","CAT",2000,"Midland",2.7,1.78714228617097
"303","CAT",2000,"Upland",1.59090909090909,1.41396630062413
"304","CAT",2001,"Midland",3.54166666666667,2.12601212043391
"305","CAT",2001,"Upland",0.807692307692308,0.92965229718705
"306","CAT",2002,"Lowland",2,1.82574185835055
"307","CAT",2002,"Midland",3.18181818181818,0.981649817214043
"308","CAT",2002,"Upland",1.19047619047619,1.12334534400814
"309","CAT",2003,"Lowland",NA,NA
"310","CAT",2003,"Midland",2.3030303030303,1.64857606142484
"311","CAT",2003,"Upland",1.65625,1.65800842443091
"312","CAT",2004,"Lowland",1.1219512195122,1.55864965220919
"313","CAT",2004,"Midland",1.87903225806452,1.9655270582816
"314","CAT",2004,"Upland",1.5,1.65027399401407
"315","CAT",2005,"Lowland",1.1219512195122,1.41765866750815
"316","CAT",2005,"Midland",2.25333333333333,1.8460574010382
"317","CAT",2005,"Upland",2.45454545454545,1.99831578917497
"318","CAT",2006,"Lowland",0.782608695652174,1.41281542702153
"319","CAT",2006,"Midland",0.714285714285714,1.27054543967767
"320","CAT",2006,"Upland",0.4,0.816496580927726
"321","CAT",2007,"Lowland",0.666666666666667,0.868553950490285
"322","CAT",2007,"Midland",1.04166666666667,1.27092416254879
"323","CAT",2007,"Upland",0.88,1.18906583123913
"324","CAT",2008,"Lowland",0.784810126582278,1.07023704630365
"325","CAT",2008,"Midland",1.58510638297872,1.39437868746078
"326","CAT",2008,"Upland",0.813186813186813,1.16344400535735
"327","CAT",2009,"Lowland",0.628571428571429,0.843163311433734
"328","CAT",2009,"Midland",1.12068965517241,1.271517758731
"329","CAT",2009,"Upland",0.73015873015873,1.03497466396213
"330","CAT",2010,"Lowland",0.689655172413793,1.07249536382155
"331","CAT",2010,"Midland",1.46938775510204,1.60859722553957
"332","CAT",2010,"Upland",1.48387096774194,1.98109343111215
"333","CAT",2011,"Lowland",1.5,1.7606816861659
"334","CAT",2011,"Midland",1.76,1.23423390543824
"335","CAT",2011,"Upland",1.16216216216216,1.40462556326338
"336","CAT",2012,"Lowland",1.07894736842105,1.32301005996805
"337","CAT",2012,"Midland",2.18421052631579,1.43046511350934
"338","CAT",2012,"Upland",1.40789473684211,1.4530669319656
"339","CAT",2013,"Lowland",0.363636363636364,0.504524979109513
"340","CAT",2013,"Midland",1.58974358974359,1.09347222711461
"341","CAT",2013,"Upland",1.76785714285714,1.91635137628844
"342","CAT",2014,"Lowland",0.454545454545455,0.820199532264724
"343","CAT",2014,"Midland",1.14285714285714,1.52752523165195
"344","CAT",2014,"Upland",0.411764705882353,0.870260272089029
"345","CAT",2015,"Lowland",1.5,1.04880884817015
"346","CAT",2015,"Midland",2.5,1.65250392761083
"347","CAT",2015,"Upland",1.38888888888889,1.517098316388
"348","CAT",2016,"Lowland",1.81818181818182,1.60113596038449
"349","CAT",2016,"Midland",1.66666666666667,1.16718415024353
"350","CAT",2016,"Upland",2.14285714285714,1.65748386032949
"351","CC",2000,"Lowland",0.6,0.966091783079296
"352","CC",2000,"Midland",1.68,1.05830052442584
"353","CC",2000,"Upland",1.60606060606061,1.60651354830446
"354","CC",2001,"Midland",2.08333333333333,1.61290088826385
"355","CC",2001,"Upland",0.980769230769231,1.26010246417153
"356","CC",2002,"Lowland",0.5,1
"357","CC",2002,"Midland",0.636363636363636,1.02691063610494
"358","CC",2002,"Upland",1.33333333333333,1.11055541659718
"359","CC",2003,"Lowland",NA,NA
"360","CC",2003,"Midland",1.33333333333333,1.40682858467784
"361","CC",2003,"Upland",2.09375,1.90685309074334
"362","CC",2004,"Lowland",0.817073170731707,1.1235750787299
"363","CC",2004,"Midland",2.00806451612903,1.43982817257322
"364","CC",2004,"Upland",1.72916666666667,1.74721155758264
"365","CC",2005,"Lowland",1.04878048780488,1.22374873875717
"366","CC",2005,"Midland",2.54666666666667,1.74985198859274
"367","CC",2005,"Upland",2.23636363636364,1.65511145829939
"368","CC",2006,"Lowland",1.34782608695652,2.14494534052362
"369","CC",2006,"Midland",2.19047619047619,1.60059512741504
"370","CC",2006,"Upland",1.4,1.15470053837925
"371","CC",2007,"Lowland",0.692307692307692,0.977479200312996
"372","CC",2007,"Midland",1.41666666666667,1.49940886697212
"373","CC",2007,"Upland",1.2,1.14285714285714
"374","CC",2008,"Lowland",0.658227848101266,1.01129614660475
"375","CC",2008,"Midland",1.87234042553191,1.89642585477241
"376","CC",2008,"Upland",1.20879120879121,1.25181187365872
"377","CC",2009,"Lowland",0.942857142857143,1.37076314388688
"378","CC",2009,"Midland",1.91379310344828,1.53650871919496
"379","CC",2009,"Upland",1.11111111111111,1.36914278704822
"380","CC",2010,"Lowland",0.689655172413793,0.849514494783515
"381","CC",2010,"Midland",2.69387755102041,1.4318414954272
"382","CC",2010,"Upland",1.74193548387097,1.61178455829729
"383","CC",2011,"Lowland",0.166666666666667,0.408248290463863
"384","CC",2011,"Midland",1.6,1.38443731048635
"385","CC",2011,"Upland",1.45945945945946,1.26039223600774
"386","CC",2012,"Lowland",1,1.23024937045849
"387","CC",2012,"Midland",1.84210526315789,1.49822085099291
"388","CC",2012,"Upland",1.53947368421053,1.50058468137087
"389","CC",2013,"Lowland",0.818181818181818,1.07871977994119
"390","CC",2013,"Midland",2.15384615384615,2.03312646897983
"391","CC",2013,"Upland",1.375,1.24407687573046
"392","CC",2014,"Lowland",0.909090909090909,2.11917651244749
"393","CC",2014,"Midland",1.95918367346939,1.56736487553512
"394","CC",2014,"Upland",1.58823529411765,1.54348726628258
"395","CC",2015,"Lowland",0,0
"396","CC",2015,"Midland",1.85714285714286,1.16732059119908
"397","CC",2015,"Upland",1.11111111111111,1.30444904139154
"398","CC",2016,"Lowland",0.636363636363636,0.924416277737175
"399","CC",2016,"Midland",1.54166666666667,1.50301629100103
"400","CC",2016,"Upland",2.14285714285714,1.95555000554213
"401","CURR",2000,"Lowland",0,0
"402","CURR",2000,"Midland",0.24,0.476380914300945
"403","CURR",2000,"Upland",0.196969696969697,0.613180785731807
"404","CURR",2001,"Midland",0.333333333333333,0.56465970257328
"405","CURR",2001,"Upland",0.384615384615385,0.843750872855814
"406","CURR",2002,"Lowland",0,0
"407","CURR",2002,"Midland",0,0
"408","CURR",2002,"Upland",1.19047619047619,1.72101852456758
"409","CURR",2003,"Lowland",0,0
"410","CURR",2003,"Midland",0.121212121212121,0.415148750267281
"411","CURR",2003,"Upland",1.25,2.01606451509674
"412","CURR",2004,"Lowland",0.0731707317073171,0.262019121198305
"413","CURR",2004,"Midland",0.0725806451612903,0.341526632340663
"414","CURR",2004,"Upland",0.625,1.0644147328012
"415","CURR",2005,"Lowland",0.024390243902439,0.156173761888606
"416","CURR",2005,"Midland",0.12,0.401349076342629
"417","CURR",2005,"Upland",1.01818181818182,1.59270221218542
"418","CURR",2006,"Lowland",0.130434782608696,0.45769658728016
"419","CURR",2006,"Midland",0.0952380952380952,0.300792603759119
"420","CURR",2006,"Upland",0.12,0.33166247903554
"421","CURR",2007,"Lowland",0.102564102564103,0.383534242955656
"422","CURR",2007,"Midland",0.166666666666667,0.376621788577355
"423","CURR",2007,"Upland",1.2,1.27775312999988
"424","CURR",2008,"Lowland",0.0379746835443038,0.192356371638255
"425","CURR",2008,"Midland",0.117021276595745,0.354885502623799
"426","CURR",2008,"Upland",0.989010989010989,1.04875063760548
"427","CURR",2009,"Lowland",0,0
"428","CURR",2009,"Midland",0.241379310344828,0.657222887439988
"429","CURR",2009,"Upland",1.95238095238095,1.59058288594172
"430","CURR",2010,"Lowland",0.0689655172413793,0.257880714777564
"431","CURR",2010,"Midland",0.244897959183673,0.560156683619933
"432","CURR",2010,"Upland",0.806451612903226,0.980454140988065
"433","CURR",2011,"Lowland",0,0
"434","CURR",2011,"Midland",0,0
"435","CURR",2011,"Upland",0.648648648648649,0.949157995752499
"436","CURR",2012,"Lowland",0.315789473684211,0.808911953846271
"437","CURR",2012,"Midland",0.368421052631579,0.750533238602735
"438","CURR",2012,"Upland",1.61842105263158,1.67305792099901
"439","CURR",2013,"Lowland",0,0
"440","CURR",2013,"Midland",0.0512820512820513,0.320256307610174
"441","CURR",2013,"Upland",0.946428571428571,1.05174561143312
"442","CURR",2014,"Lowland",0,0
"443","CURR",2014,"Midland",0.163265306122449,0.656599153958937
"444","CURR",2014,"Upland",0.764705882352941,1.03255821656129
"445","CURR",2015,"Lowland",0,0
"446","CURR",2015,"Midland",0,0
"447","CURR",2015,"Upland",1.11111111111111,1.50765243773752
"448","CURR",2016,"Lowland",0,0
"449","CURR",2016,"Midland",0.166666666666667,0.380693493813441
"450","CURR",2016,"Upland",1.42857142857143,1.45254607840513
"451","EWB",2000,"Lowland",0.5,0.849836585598797
"452","EWB",2000,"Midland",1.36,1.22491149201292
"453","EWB",2000,"Upland",1.71212121212121,1.43328725463961
"454","EWB",2001,"Midland",3.08333333333333,1.95418540054677
"455","EWB",2001,"Upland",1.30769230769231,1.57851334300896
"456","EWB",2002,"Lowland",0.25,0.5
"457","EWB",2002,"Midland",2.18181818181818,1.88775961489708
"458","EWB",2002,"Upland",1.38095238095238,1.02353263143832
"459","EWB",2003,"Lowland",0,0
"460","EWB",2003,"Midland",2.66666666666667,1.53432938662683
"461","EWB",2003,"Upland",1.6875,1.82168833423744
"462","EWB",2004,"Lowland",1.29268292682927,1.73196388122782
"463","EWB",2004,"Midland",2.56451612903226,1.93067634420666
"464","EWB",2004,"Upland",2.60416666666667,1.94323248281555
"465","EWB",2005,"Lowland",1.09756097560976,1.33799996354224
"466","EWB",2005,"Midland",2.34666666666667,1.70447212509481
"467","EWB",2005,"Upland",1.90909090909091,1.66969421987344
"468","EWB",2006,"Lowland",0.91304347826087,1.27611069191654
"469","EWB",2006,"Midland",2.28571428571429,1.52127765851133
"470","EWB",2006,"Upland",1.24,1.71464281994822
"471","EWB",2007,"Lowland",1.20512820512821,1.32147220890958
"472","EWB",2007,"Midland",2.375,1.49644969916388
"473","EWB",2007,"Upland",1.26,1.48200085378256
"474","EWB",2008,"Lowland",1.0253164556962,1.38651642009292
"475","EWB",2008,"Midland",2.22340425531915,1.80295012317268
"476","EWB",2008,"Upland",1.21978021978022,1.56916253532611
"477","EWB",2009,"Lowland",1.37142857142857,1.43661600513794
"478","EWB",2009,"Midland",1.53448275862069,1.77917305097384
