Species,Elevation,Slope,SD of slope,p-value,Trend,Elevational groups
SBCUC,Upland,0.048,0.064,4.59E-01,Uncertain,Midland species
SFD,Lowland,-0.093,0.111,4.16E-01,Uncertain,Midland species
SFD,Midland,0.033,0.003,1.08E-08,Moderate increase,Midland species
SFD,Upland,-0.016,0.006,2.15E-02,Moderate decline,Midland species
SMON,Lowland,0.02,0.005,6.36E-04,Moderate increase,Lowland species
SMON,Midland,-0.013,0.003,2.50E-03,Moderate decline,Lowland species
SMON,Upland,-0.122,0.064,7.65E-02,Uncertain,Lowland species
TBBB,Lowland,NA,NA,NA,,Upland species
TBBB,Midland,-0.18,0.01,2.71E-11,Steep decline,Upland species
TBBB,Upland,-0.101,0.117,3.98E-01,Uncertain,Upland species
VRIF,Lowland,-0.044,0.006,5.47E-06,Moderate decline,Midland species
VRIF,Midland,-0.031,0.003,7.92E-08,Moderate decline,Midland species
VRIF,Upland,-0.005,0.005,3.22E-01,Stable,Midland species
WOMP,Lowland,-0.079,0.097,4.32E-01,Uncertain,Midland species
WOMP,Midland,-0.045,0.004,6.22E-09,Moderate decline,Midland species
WOMP,Upland,0.003,0.022,8.97E-01,Stable,Midland species
WTTC,Lowland,-0.174,0.087,6.36E-02,Uncertain,Upland species
WTTC,Midland,-0.03,0.003,1.62E-07,Moderate decline,Upland species
WTTC,Upland,0.017,0.003,1.44E-05,Moderate increase,Upland species
YBBB,Lowland,0.019,0.007,1.19E-02,Moderate increase,Lowland species
YBBB,Midland,0.037,0.005,2.11E-06,Moderate increase,Lowland species
YBBB,Upland,0.037,0.063,5.63E-01,Uncertain,Lowland species
YSHE,Lowland,0.009,0.003,9.23E-03,Moderate increase,Lowland species
YSHE,Midland,0.212,0.223,3.56E-01,Uncertain,Lowland species
YSHE,Upland,0.023,0.188,9.04E-01,Uncertain,Lowland species
YTSW,Lowland,-0.063,0.074,4.10E-01,Uncertain,Upland species
YTSW,Midland,0.019,0.004,8.22E-04,Moderate increase,Upland species
YTSW,Upland,0.012,0.003,1.99E-03,Moderate increase,Upland species
